No,Index,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1,logTg,Series
1,PPD_007,1,1.568,3.15,8.507,-1.0,0,4.494,0.0,0.0,0.722,0.0,4.599,3.374,0.079,1.028,2.7077,T
2,PPD_008,1,2.352,3.621,8.507,-1.0,1,3.948,0.0,0.0,1.371,0.0,4.608,3.425,0.023,2.84,2.852,T
3,PPD_010,2,2.446,4.15,10.289,0.821,1,8.896,2.565,2.197,1.096,1.0,4.766,3.443,0.161,5.075,2.8177,T
5,PPD_019,1,2.378,3.898,9.304,0.471,0,6.468,2.485,0.0,1.299,0.875,4.717,3.427,0.031,3.641,2.7552,T
6,PPD_029,1,2.379,3.779,9.306,1.887,0,18.221,3.045,2.944,0.426,0.726,4.656,3.383,1.177,10.695,2.7687,T
7,PPD_030,2,2.38,3.78,10.447,1.608,0,9.568,4.159,3.738,0.75,1.0,5.047,3.575,0.047,6.919,2.7421,T
8,PPD_034,2,2.418,3.8,10.564,1.293,0,7.252,2.708,2.565,0.845,1.0,4.683,3.411,0.26,5.787,2.7268,T
10,PPD_067,5,2.79,5.479,12.897,2.278,0,18.714,5.796,6.071,0.812,0.647,5.372,3.734,-0.268,10.514,2.8223,T
11,PPD_076,2,2.731,4.101,10.896,0.853,1,7.338,1.946,0.0,1.224,0.889,5.125,3.616,0.078,4.113,2.8421,T
14,PPD_087,4,2.878,3.852,11.946,1.945,0,23.753,4.86,5.283,0.544,0.8,5.396,3.718,1.039,16.424,2.7452,T
15,PPD_088,4,2.878,3.852,11.946,1.937,0,22.197,4.844,5.273,0.567,0.796,5.396,3.718,0.907,14.96,2.7499,T
16,PPD_093,4,2.878,3.852,11.946,1.897,0,17.532,4.796,5.242,0.65,0.782,5.396,3.718,0.729,12.334,2.7514,T
19,PPD_096,4,2.878,3.852,11.946,1.816,0,12.873,4.745,5.165,0.764,0.76,5.396,3.718,0.304,9.477,2.779,T
20,PPD_097,4,2.914,3.913,11.998,1.853,0,14.425,4.812,5.043,0.722,0.907,5.412,3.727,0.358,10.575,2.756,T
21,PPD_106,0,1.281,2.83,0.0,-1.414,0,3.169,0.0,0.0,1.0,0.0,3.899,3.077,0.022,2.111,2.7673,T
23,PPD_109,5,3.107,3.862,12.166,2.274,0,10.478,5.176,5.323,0.868,0.781,5.485,3.932,-0.023,3.368,2.8458,T
24,PPD_112,2,2.454,3.846,10.139,1.188,0,9.948,3.296,2.708,0.918,0.721,4.898,3.499,0.129,6.858,2.746,T
25,PPD_113,2,2.446,3.839,10.028,0.797,0,8.39,3.135,1.099,0.971,0.699,4.894,3.496,0.011,5.553,2.8103,T
26,PPD_114,2,2.456,3.847,10.158,1.463,0,11.506,3.497,2.944,0.863,0.737,4.899,3.499,0.313,8.001,2.726,T
27,PPD_121,0,1.618,1.932,0.0,-0.618,0,3.948,0.0,0.0,0.971,0.228,3.601,2.837,0.108,3.39,2.6722,T
28,PPD_122,1,2.339,3.052,9.397,0.826,0,6.688,1.099,0.0,0.811,0.625,4.124,3.134,0.186,4.062,2.6814,T
30,PPD_124,3,2.771,3.892,11.235,1.595,0,12.377,3.178,2.485,0.837,0.966,5.01,3.545,0.359,9.456,2.7628,T
32,PPD_128,3,2.707,3.679,11.459,1.287,1,9.234,2.565,0.0,1.096,0.857,4.96,3.651,0.287,7.118,2.7522,T
33,PPD_132,2,2.727,4.581,12.603,1.265,0,9.649,2.565,0.0,1.435,0.784,4.955,3.654,0.155,5.829,2.7925,T
34,PPD_133,3,3.166,4.61,13.312,1.474,0,11.455,2.708,1.946,1.42,0.917,4.98,3.691,0.194,7.066,2.7904,T
35,PPD_141,2,3.361,4.221,13.352,1.671,0,8.241,2.565,2.197,0.811,0.954,4.968,3.666,0.222,6.854,2.7833,T
37,PPD_158,3,2.685,3.678,11.173,1.414,0,8.113,2.773,2.708,0.811,1.0,4.923,3.622,0.317,6.373,2.7783,T
38,PPD_161,3,2.807,3.627,11.364,1.414,0,5.921,4.205,1.609,0.503,1.0,5.336,3.827,0.09,1.497,2.7988,T
39,PPD_162,0,2.0,2.0,0.0,1.0,0,2.889,3.611,0.0,0.0,0.0,4.83,3.417,0.015,1.124,2.9091,T
41,PPD_166,5,3.076,3.645,12.767,2.121,0,10.44,5.624,6.168,0.297,0.975,5.627,4.008,-0.107,6.406,2.8866,T
42,PPD_170,2,2.641,3.616,10.736,1.0,0,6.099,4.344,3.892,0.0,1.0,5.219,3.613,0.097,2.261,2.7775,T
43,PPD_189,0,1.807,4.404,7.624,-1.0,0,1.253,0.0,0.0,0.918,0.0,3.026,2.974,0.079,0.396,2.6956,T
45,PPD_209,1,2.379,4.432,12.468,0.568,0,8.286,2.565,0.0,1.352,0.541,4.762,3.55,0.031,3.852,2.7333,T
46,PPD_211,3,2.928,3.847,11.41,1.414,0,7.483,4.443,4.174,0.866,1.0,5.332,3.711,0.051,2.674,2.7847,T
47,PPD_212,2,2.735,3.419,10.342,-1.0,0,4.883,0.0,0.0,0.65,0.0,4.887,3.468,0.193,1.863,2.8083,T
49,PPD_215,1,2.414,3.565,8.507,-1.0,0,4.013,0.0,0.0,0.722,0.0,4.607,3.337,0.138,1.56,2.759,T
50,PPD_216,0,1.544,4.196,0.0,0.445,0,6.026,1.386,0.0,0.592,0.857,3.999,2.984,0.263,1.8,2.7211,T
52,PPD_219,1,2.215,4.574,10.05,1.0,0,5.806,4.078,3.367,0.503,1.0,5.052,3.524,0.034,1.763,2.819,T
53,SA_001,4,3.193,3.731,12.772,2.043,0,5.376,5.425,6.111,0.0,1.0,5.624,3.877,0.036,1.864,2.6877,T
54,SA_003,3,2.64,3.697,10.992,1.842,0,7.933,4.489,4.511,0.65,1.0,5.258,3.643,0.022,4.447,2.5901,T
55,SA_007,1,2.338,3.671,10.729,0.854,0,4.838,1.946,1.609,0.811,1.0,4.297,3.303,0.148,3.256,2.2904,T
56,SA_012,3,2.686,3.859,11.178,2.0,0,9.676,4.875,4.691,0.696,0.781,5.189,3.659,-0.08,6.678,2.6505,T
58,SA_031,15,3.229,4.73,14.137,3.172,1,53.391,5.743,6.297,1.401,0.749,5.314,3.82,-0.202,60.53,2.5134,T
59,SA_034,0,1.618,2.183,0.0,-0.618,0,4.403,0.0,0.0,0.722,0.4,4.326,3.285,0.067,0.992,2.3676,T
60,SA_042,1,2.299,3.424,10.05,1.0,0,5.423,2.708,1.946,0.503,0.86,4.396,3.226,0.422,3.892,2.5492,T
61,SA_054,2,2.628,3.554,10.342,-1.0,0,4.909,0.0,0.0,0.918,0.0,4.64,3.429,0.174,2.569,2.7,T
62,SA_055,4,2.736,3.804,11.459,1.287,0,9.169,2.944,0.0,0.845,0.646,5.112,3.727,0.276,5.401,2.6356,T
64,SA_065,2,2.877,3.484,11.968,1.682,0,8.604,4.419,4.263,0.735,1.0,5.148,3.551,0.059,-999.0,2.2722,T
65,SA_066,2,2.642,3.633,10.671,1.206,0,5.334,4.234,3.497,0.0,1.0,5.228,3.781,0.049,1.921,2.4671,T
67,SA_071,1,2.332,3.706,8.737,1.0,1,7.091,1.792,1.386,1.224,1.0,4.452,3.371,0.252,5.591,2.5121,T
68,SA_073,2,2.626,3.808,11.297,1.914,1,13.222,3.401,3.219,0.953,0.926,4.708,3.457,0.74,9.286,2.52,T
71,SA_080,0,1.848,1.848,0.0,0.765,0,6.234,1.609,1.099,0.0,1.0,4.011,3.148,0.401,2.427,2.3225,T
72,SA_085,6,3.157,4.071,13.227,2.49,1,9.93,5.425,5.802,0.986,1.0,5.678,4.079,-0.066,7.259,2.6974,T
73,SA_086,1,2.626,3.78,10.624,0.14,1,5.753,0.0,0.0,1.149,0.327,4.658,3.53,0.141,3.136,2.5589,T
75,SA_095,0,1.939,2.353,0.0,1.618,0,11.87,2.485,2.303,0.353,0.919,4.067,3.064,0.8,5.975,2.3246,T
77,SA_097,1,2.457,3.686,10.671,-0.589,0,2.889,0.0,0.0,1.371,0.6,3.991,3.285,0.058,1.267,2.3999,T
78,SA_098,1,2.558,3.636,10.671,-0.589,0,2.409,0.0,0.0,0.722,0.6,4.02,3.281,0.143,1.718,2.3078,T
80,SA_100,1,2.58,3.642,10.729,1.124,0,5.423,1.946,1.609,0.503,1.0,4.223,3.289,0.387,3.089,2.3142,T
81,SA_104,10,3.202,3.733,13.537,2.536,0,22.882,4.625,4.787,0.938,0.987,5.016,3.775,0.461,28.311,2.4999,T
82,SA_108,4,2.918,3.917,12.001,1.894,0,8.294,4.804,5.1,0.863,0.962,5.416,3.892,-0.007,7.289,2.5107,T
84,SA_110,6,3.03,3.941,12.548,2.492,0,10.161,5.447,6.19,0.764,0.973,5.618,4.009,-0.047,8.878,2.5868,T
86,SA_117,0,1.294,2.296,0.0,-0.618,0,4.078,0.0,0.0,0.722,0.4,3.963,3.028,0.067,2.32,2.362,T
87,SA_127,2,2.882,3.612,11.618,1.532,0,4.111,4.511,4.489,0.0,1.0,5.278,3.702,0.134,1.62,2.5541,T
89,SA_133,2,2.912,3.827,11.198,1.147,0,6.125,4.263,3.97,0.469,1.0,5.252,3.672,0.07,2.764,2.5405,T
90,SA_139,0,1.458,2.337,0.0,0.0,0,4.857,1.099,0.0,0.65,0.667,3.996,3.043,0.149,2.756,2.3505,T
91,SA_146,0,1.857,2.465,7.409,0.618,0,2.323,0.0,0.0,0.722,0.655,3.694,3.048,0.19,1.671,2.2768,T
92,SA_148,4,2.878,3.852,11.946,1.851,0,14.425,4.762,5.198,0.722,0.769,5.396,3.718,0.332,10.578,2.4626,T
94,SA_158,3,3.315,3.872,13.306,1.873,0,10.47,4.654,5.03,0.567,0.919,5.405,3.714,0.192,5.718,2.573,T
95,SA_160,5,3.188,3.678,13.036,1.934,1,7.561,5.529,6.159,0.353,1.0,5.607,3.902,-0.179,4.413,2.6991,T
96,SA_162,2,2.722,3.795,11.226,1.287,0,7.073,3.045,2.565,0.684,0.895,4.786,3.584,0.502,5.118,2.543,T
97,SA_164,0,1.0,2.008,0.0,0.0,0,2.494,0.0,0.0,0.918,0.0,3.153,2.727,0.091,0.853,2.4971,T
99,SA_171,1,2.472,3.308,9.976,1.0,1,4.508,3.932,2.565,0.544,1.0,5.037,3.737,0.162,2.047,2.5765,T
100,SA_172,1,2.484,3.474,9.976,1.0,1,4.508,3.932,2.565,0.544,1.0,5.037,3.733,0.143,1.98,2.6182,T
101,JPS_01,0,3.476,4.951,15.599,1.328,0,7.676,1.946,0.0,1.295,0.697,5.164,4.011,-0.043,3.86,2.3483,T
102,JPS_02,2,2.111,3.616,10.342,-1.0,0,5.481,0.0,0.0,0.918,0.0,4.298,3.406,0.065,2.332,2.5888,T
