ID,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1
1,2,3.165,4.611,13.257,1.414,0,10.584,2.639,1.609,1.459,0.907,4.836,3.547,0.156,6.511
2,0,3.086,3.615,12.396,-1,0,4.896,0,0,0,0,4.638,3.321,0.242,1.828
3,3,2.767,3.886,11.182,1.254,0,9.26,2.639,0.693,0.946,1,5.006,3.543,0.138,6.504
4,1,2.532,3.82,9.153,0,0,4.792,0,0,0.65,0.333,4.636,3.35,0.19,1.986
5,0,1.133,4.189,0,-0.618,0,4.468,0,0,0.722,0.4,3.946,2.955,0.126,1.189
6,0,2.764,3.418,12.432,-0.509,0,5.857,0,0,0.592,0.329,4.56,3.316,0.254,3.196
7,9,3.034,4.828,13.915,2.865,1,21.653,6.178,7.134,1.543,0.988,5.794,4.089,0.102,15.026
8,2,2.641,3.81,11.365,1.836,1,9.349,2.996,2.89,1.149,0.925,4.71,3.476,0.388,7.454
9,0,1.97,1.97,0,1.732,0,14.026,2.708,2.565,0,0.68,4.041,3.199,0.983,5.68
10,2,2.68,3.64,10.678,1.895,0,19.091,3.091,2.996,0.414,0.741,4.911,3.606,1.162,10.102
11,1,2.457,3.682,10.671,-0.589,0,3.075,0,0,1.371,0.6,4,3.282,0.097,1.218
12,1,2.58,3.642,10.729,1.455,0,6.957,2.197,1.946,0.439,1,4.253,3.289,0.523,3.709
13,2,2.538,4.004,10.394,1.453,0,5.742,2.773,2.565,0.991,0.72,4.746,3.47,0.105,5.636
14,0,1.281,1.908,0,-1.414,0,3.169,0,0,1,0,3.436,2.843,0.021,2.958
15,4,3.909,4.499,15.096,2.411,0,10.014,4.094,4.078,0.544,0.969,5.181,3.875,0.294,7.534
16,0,1.905,2.519,0,0,0,1.602,0,0,0.811,0,4.017,3.057,0.048,1.205
17,1,3.303,4.006,13.08,0.827,0,7.532,1.946,0,0.764,0.611,4.965,3.629,0.246,4.58
18,1,1.999,3.043,8.737,1.386,0,8.87,1.946,1.609,0.684,1,4.077,3.227,0.489,6.024
