No,logTg,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1
1,2.7077,0.037037037,0.394862755,0.493534483,0.520592375,0.085678808,0,0.062161955,0,0,0.411865374,0,0.607106339,0.554021894,0.498327759,0.943841137
2,2.852,0.037037037,0.592294132,0.595043103,0.520592375,0.085678808,1,0.051689746,0,0,0.782087849,0,0.609406953,0.57829605,0.477517651,0.945551329
3,2.8177,0.074074074,0.615965752,0.709051724,0.629643229,0.462541391,1,0.146591737,0.341362789,0.255911474,0.625213919,1,0.649795501,0.586863398,0.528799703,0.947660755
4,2.7552,0.037037037,0.598841602,0.654741379,0.5693654,0.390107616,0,0.100023016,0.330715997,0,0.741015402,0.875,0.637269939,0.579247977,0.480490524,0.946307325
5,2.7687,0.037037037,0.599093427,0.629094828,0.569487791,0.683153974,0,0.325444014,0.405243545,0.342923704,0.243011979,0.726,0.621676892,0.558305569,0.906354515,0.952964994
6,2.7421,0.074074074,0.599345253,0.629310345,0.63931216,0.625413907,0,0.159480609,0.553500133,0.4354106,0.427837992,1,0.721625767,0.649690624,0.486436269,0.94940115
7,2.8223,0.185185185,0.702593805,0.995474138,0.789241784,0.764072848,0,0.334899689,0.771360128,0.707163658,0.463205933,0.647,0.804703476,0.725368872,0.369379413,0.952794163
8,2.8421,0.074074074,0.687736087,0.698491379,0.666789058,0.469163907,1,0.116709502,0.258983231,0,0.698231603,0.889,0.741564417,0.66920514,0.49795615,0.946752805
9,2.7452,0.148148148,0.72475447,0.644827586,0.731044612,0.695157285,0,0.431547048,0.646792654,0.615375655,0.310325157,0.8,0.810838446,0.717753451,0.855072464,0.958372108
10,2.7514,0.148148148,0.72475447,0.644827586,0.731044612,0.68522351,0,0.312229084,0.63827522,0.610599884,0.370792926,0.782,0.810838446,0.717753451,0.739873653,0.954511906
11,2.779,0.148148148,0.72475447,0.644827586,0.731044612,0.668460265,0,0.222870076,0.631487889,0.601630751,0.435824301,0.76,0.810838446,0.717753451,0.581939799,0.951815428
12,2.756,0.148148148,0.733820196,0.657974138,0.734226792,0.67611755,0,0.252637232,0.640404578,0.587419918,0.411865374,0.907,0.814928425,0.722037125,0.602006689,0.952851736
13,2.7673,0,0.322588769,0.424568966,0,0,0,0.036748629,0,0,0.570450656,0,0.428169734,0.412660638,0.477146042,0.944863288
14,2.8458,0.185185185,0.782422564,0.646982759,0.74450768,0.763245033,0,0.17693429,0.688847485,0.620034945,0.495151169,0.781,0.833588957,0.81960971,0.460423634,0.946049664
15,2.746,0.074074074,0.617980358,0.643534483,0.620463864,0.538493377,0,0.166768959,0.438647857,0.315433896,0.523673702,0.721,0.683537832,0.613517373,0.516908213,0.949343577
16,2.8103,0.074074074,0.615965752,0.642025862,0.613671134,0.457574503,0,0.136886724,0.417221187,0.128013978,0.553907587,0.699,0.682515337,0.612089481,0.473058343,0.948111899
17,2.726,0.074074074,0.618484009,0.64375,0.621626583,0.595405629,0,0.196651195,0.465397924,0.342923704,0.492298916,0.737,0.683793456,0.613517373,0.585284281,0.950422357
18,2.6722,0,0.407454042,0.231034483,0,0.164735099,0,0.051689746,0,0,0.553907587,0.228,0.351993865,0.298429319,0.509104422,0.946070427
19,2.6814,0.037037037,0.589020398,0.472413793,0.575056606,0.463576159,0,0.104242587,0.146260314,0,0.462635482,0.625,0.485685072,0.439790576,0.538089929,0.946704671
